num,code
1,DHLD:SNK:40110A1
2,DHLD:SNK:40110A2
3,DHLD:SNK:40110B1
4,DHLD:SNK:40110B2
5,DHLD:SNK:40110B3
6,DHLD:SNK:40110B4
7,DHLD:SNK:40110K1
8,DHLD:SNK:40110K2
9,DHLD:SNK:40110M1
10,DHLD:SNK:40110N1
11,DHLD:SNK:40110N2
12,DHLD:SNK:40112
13,DHLD:SNK:40112A1
13,DHLD:SNK:40112B1
14,DHLD:SNK:40112B2
15,DHLD:SNK:40112B4
16,DHLD:SNK:40112B5
17,DHLD:SNK:40112B6
18,DHLD:SNK:40112B7
19,DHLD:SNK:40112C1
20,DHLD:SNK:40112C2
21,DHLD:SNK:40112C3
22,DHLD:SNK:40112C6
23,DHLD:SNK:40112C7
24,DHLD:SNK:40112F1
25,DHLD:SNK:40112G2
26,DHLD:SNK:40112K1
27,DHLD:SNK:40112K2
28,DHLD:SNK:40112M1
29,DHLD:SNK:40112M2
30,DHLD:SNK:40112M3
31,DHLD:SNK:40112M4
32,DHLD:SNK:40112M5
33,DHLD:SNK:40112N1
34,DHLD:SNK:40112N3
35,DHLD:SNK:40112S1
36,DHLD:SNK:40112S2
37,DHLD:SNK:40114
38,DHLD:SNK:40114A1
39,DHLD:SNK:40114A2
40,DHLD:SNK:40114A3
41,DHLD:SNK:40114B1
42,DHLD:SNK:40114B2
43,DHLD:SNK:40114B3
44,DHLD:SNK:40114B4
45,DHLD:SNK:40114B5
46,DHLD:SNK:40114B6
47,DHLD:SNK:40114C1
48,DHLD:SNK:40114C2
49,DHLD:SNK:40114C3
50,DHLD:SNK:40114D1
51,DHLD:SNK:40114H1
52,DHLD:SNK:40114K1
53,DHLD:SNK:40114K2
54,DHLD:SNK:40114K3
55,DHLD:SNK:40114M1
56,DHLD:SNK:40114M2
57,DHLD:SNK:40114M3
58,DHLD:SNK:40114M4
59,DHLD:SNK:40114N1
60,DHLD:SNK:40114N2
61,DHLD:SNK:40114N3
62,DHLD:SNK:40114P1
63,DHLD:SNK:40114R1
64,DHLD:SNK:40114R2
65,DHLD:SNK:40114S1
66,DHLD:SNK:40114T1